Référence;Désignation;Famille;Type;Fournisseur;Utilisateur;Code barre;N° série;Informations;Site;Date de livraison
BASDIVERS, Meuble bas divers;Meuble bas divers;Mobilier de bureau;Meuble bas.;EquipBuro;;27280;;"Crédence 4 cases BLANC SOIE
Meuble bas pour Pouf";25\BESANCON\Siege\VIOTTE\1er etage\146;
CANAPE, Canapé 2 places ou plus;Canapé 2 places ou plus;Equipement;Mobilier divers;EquipBuro;;27281;;"Canapé 3 places tapissé CANDY
Piétement rond peint gris alu";25\BESANCON\Siege\VIOTTE\2eme etage\219/220;
CANAPE, Canapé 2 places ou plus;Canapé 2 places ou plus;Equipement;Mobilier divers;EquipBuro;;27282;;"Canapé 3 places tapissé CANDY
Piétement rond peint gris alu";25\BESANCON\Siege\VIOTTE\2eme etage\216;
TABOURET, Tout type de tabouret à roulette ou sans;Tout type de tabouret à roulette ou sans;Mobilier de bureau;Tabouret;EquipBuro;;27283;;"Tabouret réglable ALBIZIA
Assise tapissée
Piétement basculant blanc";25\BESANCON\Siege\VIOTTE\4eme etage\445 - Salle de réunion;
TABOURET, Tout type de tabouret à roulette ou sans;Tout type de tabouret à roulette ou sans;Mobilier de bureau;Tabouret;EquipBuro;;27284;;"Tabouret réglable ALBIZIA
Assise tapissée
Piétement basculant blanc";25\BESANCON\Siege\VIOTTE\4eme etage\445 - Salle de réunion;
TABOURET, Tout type de tabouret à roulette ou sans;Tout type de tabouret à roulette ou sans;Mobilier de bureau;Tabouret;EquipBuro;;27285;;"Tabouret réglable ALBIZIA
Assise tapissée
Piétement basculant blanc";25\BESANCON\Siege\VIOTTE\4eme etage\445 - Salle de réunion;
TABOURET, Tout type de tabouret à roulette ou sans;Tout type de tabouret à roulette ou sans;Mobilier de bureau;Tabouret;EquipBuro;;27286;;"Tabouret réglable ALBIZIA
Assise tapissée
Piétement basculant blanc";25\BESANCON\Siege\VIOTTE\4eme etage\445 - Salle de réunion;
TABOURET, Tout type de tabouret à roulette ou sans;Tout type de tabouret à roulette ou sans;Mobilier de bureau;Tabouret;EquipBuro;;27287;;"Tabouret réglable BLIZZARD
Assise tapissée
Piétement basculant blanc";25\BESANCON\Siege\VIOTTE\4eme etage\445 - Salle de réunion;
TABOURET, Tout type de tabouret à roulette ou sans;Tout type de tabouret à roulette ou sans;Mobilier de bureau;Tabouret;EquipBuro;;27288;;"Tabouret réglable BLIZZARD
Assise tapissée
Piétement basculant blanc";25\BESANCON\Siege\VIOTTE\4eme etage\445 - Salle de réunion;
TABOURET, Tout type de tabouret à roulette ou sans;Tout type de tabouret à roulette ou sans;Mobilier de bureau;Tabouret;EquipBuro;;27289;;"Tabouret réglable BLIZZARD
Assise tapissée
Piétement basculant blanc";25\BESANCON\Siege\VIOTTE\4eme etage\445 - Salle de réunion;
TABOURET, Tout type de tabouret à roulette ou sans;Tout type de tabouret à roulette ou sans;Mobilier de bureau;Tabouret;EquipBuro;;27290;;"Tabouret réglable BLIZZARD
Assise tapissée
Piétement basculant blanc";25\BESANCON\Siege\VIOTTE\4eme etage\445 - Salle de réunion;
CHAISREUROUL, Chaise de réunion à roulette avec tablette ou écritoire;Chaise de réunion à roulette avec tablette ou écritoire;Mobilier de bureau;Chaise.;EquipBuro;;27291;;"Siège de conférence PANTHERE
5311
Dossier tapissé sur coque noir
Assise tapissée sur coque noir
Tablette écritoire avec porte gobelet
intégré
Plateau polypropylène avec espace
de rangement 45 L
Roulettes sol textile Ø 50";25\BESANCON\Siege\VIOTTE;
CHAISREUROUL, Chaise de réunion à roulette avec tablette ou écritoire;Chaise de réunion à roulette avec tablette ou écritoire;Mobilier de bureau;Chaise.;EquipBuro;;27292;;"Siège de conférence PANTHERE
5311
Dossier tapissé sur coque noir
Assise tapissée sur coque noir
Tablette écritoire avec porte gobelet
intégré
Plateau polypropylène avec espace
de rangement 45 L
Roulettes sol textile Ø 50";25\BESANCON\Siege\VIOTTE;
CHAISREUROUL, Chaise de réunion à roulette avec tablette ou écritoire;Chaise de réunion à roulette avec tablette ou écritoire;Mobilier de bureau;Chaise.;EquipBuro;;27293;;"Siège de conférence PANTHERE
5311
Dossier tapissé sur coque noir
Assise tapissée sur coque noir
Tablette écritoire avec porte gobelet
intégré
Plateau polypropylène avec espace
de rangement 45 L
Roulettes sol textile Ø 50";25\BESANCON\Siege\VIOTTE;
CHAISREUROUL, Chaise de réunion à roulette avec tablette ou écritoire;Chaise de réunion à roulette avec tablette ou écritoire;Mobilier de bureau;Chaise.;EquipBuro;;27294;;"Siège de conférence PANTHERE
5311
Dossier tapissé sur coque noir
Assise tapissée sur coque noir
Tablette écritoire avec porte gobelet
intégré
Plateau polypropylène avec espace
de rangement 45 L
Roulettes sol textile Ø 50";25\BESANCON\Siege\VIOTTE;
CHAISREUROUL, Chaise de réunion à roulette avec tablette ou écritoire;Chaise de réunion à roulette avec tablette ou écritoire;Mobilier de bureau;Chaise.;EquipBuro;;27295;;"Siège de conférence SEVILLA
Dossier tapissé sur coque noir
Assise tapissée sur coque noir
Tablette écritoire avec porte gobelet
intégré
Plateau polypropylène avec espace
de rangement 45 L
Roulettes sol textile Ø 50";25\BESANCON\Siege\VIOTTE;
CHAISREUROUL, Chaise de réunion à roulette avec tablette ou écritoire;Chaise de réunion à roulette avec tablette ou écritoire;Mobilier de bureau;Chaise.;EquipBuro;;27296;;"Siège de conférence SEVILLA
Dossier tapissé sur coque noir
Assise tapissée sur coque noir
Tablette écritoire avec porte gobelet
intégré
Plateau polypropylène avec espace
de rangement 45 L
Roulettes sol textile Ø 50";25\BESANCON\Siege\VIOTTE;
CHAISREUROUL, Chaise de réunion à roulette avec tablette ou écritoire;Chaise de réunion à roulette avec tablette ou écritoire;Mobilier de bureau;Chaise.;EquipBuro;;27297;;"Siège de conférence SEVILLA
Dossier tapissé sur coque noir
Assise tapissée sur coque noir
Tablette écritoire avec porte gobelet
intégré
Plateau polypropylène avec espace
de rangement 45 L
Roulettes sol textile Ø 50";25\BESANCON\Siege\VIOTTE;
CHAISREUROUL, Chaise de réunion à roulette avec tablette ou écritoire;Chaise de réunion à roulette avec tablette ou écritoire;Mobilier de bureau;Chaise.;EquipBuro;;27298;;"Siège de conférence SEVILLA
Dossier tapissé sur coque noir
Assise tapissée sur coque noir
Tablette écritoire avec porte gobelet
intégré
Plateau polypropylène avec espace
de rangement 45 L
Roulettes sol textile Ø 50";25\BESANCON\Siege\VIOTTE;
CHAISREUROUL, Chaise de réunion à roulette avec tablette ou écritoire;Chaise de réunion à roulette avec tablette ou écritoire;Mobilier de bureau;Chaise.;EquipBuro;;27299;;"Siège de conférence ORCHIDEE
Dossier tapissé sur coque noir
Assise tapissée sur coque noir
Tablette écritoire avec porte gobelet
intégré
Plateau polypropylène avec espace
de rangement 45 L
Roulettes sol textile Ø 50";25\BESANCON\Siege\VIOTTE;
CHAISREUROUL, Chaise de réunion à roulette avec tablette ou écritoire;Chaise de réunion à roulette avec tablette ou écritoire;Mobilier de bureau;Chaise.;EquipBuro;;27300;;"Siège de conférence ORCHIDEE
Dossier tapissé sur coque noir
Assise tapissée sur coque noir
Tablette écritoire avec porte gobelet
intégré
Plateau polypropylène avec espace
de rangement 45 L
Roulettes sol textile Ø 50";25\BESANCON\Siege\VIOTTE;
CHAISREUROUL, Chaise de réunion à roulette avec tablette ou écritoire;Chaise de réunion à roulette avec tablette ou écritoire;Mobilier de bureau;Chaise.;EquipBuro;;27301;;"Siège de conférence ORCHIDEE
Dossier tapissé sur coque noir
Assise tapissée sur coque noir
Tablette écritoire avec porte gobelet
intégré
Plateau polypropylène avec espace
de rangement 45 L
Roulettes sol textile Ø 50";25\BESANCON\Siege\VIOTTE;
CHAISREUROUL, Chaise de réunion à roulette avec tablette ou écritoire;Chaise de réunion à roulette avec tablette ou écritoire;Mobilier de bureau;Chaise.;EquipBuro;;27302;;"Siège de conférence ORCHIDEE
Dossier tapissé sur coque noir
Assise tapissée sur coque noir
Tablette écritoire avec porte gobelet
intégré
Plateau polypropylène avec espace
de rangement 45 L
Roulettes sol textile Ø 50";25\BESANCON\Siege\VIOTTE;
TABOURET, Tout type de tabouret à roulette ou sans;Tout type de tabouret à roulette ou sans;Mobilier de bureau;Tabouret;EquipBuro;;27303;;"Tabouret assis-debout
Assise tapissée forme carrée
BLIZZARD
Piétement oscillant
Base polyamide noire colonne
chromée";25\BESANCON\Siege\VIOTTE;
TABOURET, Tout type de tabouret à roulette ou sans;Tout type de tabouret à roulette ou sans;Mobilier de bureau;Tabouret;EquipBuro;;27304;;"Tabouret assis-debout
Assise tapissée forme carrée
BLIZZARD
Piétement oscillant
Base polyamide noire colonne
chromée";25\BESANCON\Siege\VIOTTE;
TABOURET, Tout type de tabouret à roulette ou sans;Tout type de tabouret à roulette ou sans;Mobilier de bureau;Tabouret;EquipBuro;;27305;;"Tabouret assis-debout
Assise tapissée forme carrée
BLIZZARD
Piétement oscillant
Base polyamide noire colonne
chromée";25\BESANCON\Siege\VIOTTE;
TABOURET, Tout type de tabouret à roulette ou sans;Tout type de tabouret à roulette ou sans;Mobilier de bureau;Tabouret;EquipBuro;;27306;;"Tabouret assis-debout
Assise tapissée forme ROND
BLIZZARD
Piétement oscillant
Base polyamide noire colonne
chromée";25\BESANCON\Siege\VIOTTE;
TABOURET, Tout type de tabouret à roulette ou sans;Tout type de tabouret à roulette ou sans;Mobilier de bureau;Tabouret;EquipBuro;;27307;;"Tabouret assis-debout
Assise tapissée forme ROND
BLIZZARD
Piétement oscillant
Base polyamide noire colonne
chromée";25\BESANCON\Siege\VIOTTE;
TABOURET, Tout type de tabouret à roulette ou sans;Tout type de tabouret à roulette ou sans;Mobilier de bureau;Tabouret;EquipBuro;;27308;;"Tabouret assis-debout
Assise tapissée forme ROND
BLIZZARD
Piétement oscillant
Base polyamide noire colonne
chromée";25\BESANCON\Siege\VIOTTE;
TABOURET, Tout type de tabouret à roulette ou sans;Tout type de tabouret à roulette ou sans;Mobilier de bureau;Tabouret;EquipBuro;;27309;;"Tabouret assis-debout
Assise tapissée forme CARRE
ORCHIDEE
Piétement oscillant
Base polyamide noire colonne
chromée";25\BESANCON\Siege\VIOTTE;
TABOURET, Tout type de tabouret à roulette ou sans;Tout type de tabouret à roulette ou sans;Mobilier de bureau;Tabouret;EquipBuro;;27310;;"Tabouret assis-debout
Assise tapissée forme CARRE
ORCHIDEE
Piétement oscillant
Base polyamide noire colonne
chromée";25\BESANCON\Siege\VIOTTE;
TABOURET, Tout type de tabouret à roulette ou sans;Tout type de tabouret à roulette ou sans;Mobilier de bureau;Tabouret;EquipBuro;;27311;;"Tabouret assis-debout
Assise tapissée forme CARRE
ORCHIDEE
Piétement oscillant
Base polyamide noire colonne
chromée";25\BESANCON\Siege\VIOTTE;
TABOURET, Tout type de tabouret à roulette ou sans;Tout type de tabouret à roulette ou sans;Mobilier de bureau;Tabouret;EquipBuro;;27312;;"Tabouret assis-debout
Assise tapissée forme ROND
ORCHIDEE
Piétement oscillant
Base polyamide noire colonne
chromée";25\BESANCON\Siege\VIOTTE;
TABOURET, Tout type de tabouret à roulette ou sans;Tout type de tabouret à roulette ou sans;Mobilier de bureau;Tabouret;EquipBuro;;27313;;"Tabouret assis-debout
Assise tapissée forme ROND
ORCHIDEE
Piétement oscillant
Base polyamide noire colonne
chromée";25\BESANCON\Siege\VIOTTE;
TABOURET, Tout type de tabouret à roulette ou sans;Tout type de tabouret à roulette ou sans;Mobilier de bureau;Tabouret;EquipBuro;;27314;;"Tabouret assis-debout
Assise tapissée forme ROND
ORCHIDEE
Piétement oscillant
Base polyamide noire colonne
chromée";25\BESANCON\Siege\VIOTTE;
CHARIOT, Chariot à roulette ou plateau roulant Chariot de transport de chaises ou table Coins roulant;Chariot à roulette ou plateau roulant Chariot de transport de chaises ou table Coins roulant;Equipement;Manutention;EquipBuro;;27315;;"Chariot de transport sur roulettes
(15 chaises)";25\BESANCON\Siege\VIOTTE;
CHARIOT, Chariot à roulette ou plateau roulant Chariot de transport de chaises ou table Coins roulant;Chariot à roulette ou plateau roulant Chariot de transport de chaises ou table Coins roulant;Equipement;Manutention;EquipBuro;;27316;;"Chariot de transport sur roulettes
(15 chaises)";25\BESANCON\Siege\VIOTTE;
CHARIOT, Chariot à roulette ou plateau roulant Chariot de transport de chaises ou table Coins roulant;Chariot à roulette ou plateau roulant Chariot de transport de chaises ou table Coins roulant;Equipement;Manutention;EquipBuro;;27317;;"Chariot de transport sur roulettes
(15 chaises)";25\BESANCON\Siege\VIOTTE;
CHARIOT, Chariot à roulette ou plateau roulant Chariot de transport de chaises ou table Coins roulant;Chariot à roulette ou plateau roulant Chariot de transport de chaises ou table Coins roulant;Equipement;Manutention;EquipBuro;;27318;;"Chariot de transport sur roulettes
(15 chaises)";25\BESANCON\Siege\VIOTTE;
DIABLE, Diable pour transport;Diable pour transport;Equipement;Manutention;EquipBuro;;27319;;"Diable de transport
15 Chaises
";25\BESANCON\Siege\VIOTTE;
DIABLE, Diable pour transport;Diable pour transport;Equipement;Manutention;EquipBuro;;27320;;"Diable de transport
15 Chaises
";25\BESANCON\Siege\VIOTTE;
CHAISVISIT, Chaise visiteur;Chaise visiteur;Mobilier de bureau;Chaise.;EquipBuro;;27321;;"Siège visiteur
Dossier tapissé sur coque
Assise tapissée
Piétement 4 pieds tube acier
chromé
Coque BLANCHE 
Tissu DUO ANTRACITE
Fabriqué en France";25\BESANCON\Siege\VIOTTE;
CHAISVISIT, Chaise visiteur;Chaise visiteur;Mobilier de bureau;Chaise.;EquipBuro;;27322;;"Siège visiteur
Dossier tapissé sur coque
Assise tapissée
Piétement 4 pieds tube acier
chromé
Coque BLANCHE 
Tissu DUO ANTRACITE
Fabriqué en France";25\BESANCON\Siege\VIOTTE;
CHAISVISIT, Chaise visiteur;Chaise visiteur;Mobilier de bureau;Chaise.;EquipBuro;;27323;;"Siège visiteur
Dossier tapissé sur coque
Assise tapissée
Piétement 4 pieds tube acier
chromé
Coque BLANCHE 
Tissu DUO ANTRACITE
Fabriqué en France";25\BESANCON\Siege\VIOTTE;
CHAISVISIT, Chaise visiteur;Chaise visiteur;Mobilier de bureau;Chaise.;EquipBuro;;27324;;"Siège visiteur
Dossier tapissé sur coque
Assise tapissée
Piétement 4 pieds tube acier
chromé
Coque BLANCHE 
Tissu DUO ANTRACITE
Fabriqué en France";25\BESANCON\Siege\VIOTTE;
CHAISVISIT, Chaise visiteur;Chaise visiteur;Mobilier de bureau;Chaise.;EquipBuro;;27325;;"Siège visiteur
Dossier tapissé sur coque
Assise tapissée
Piétement 4 pieds tube acier
chromé
Coque BLANCHE 
Tissu DUO ANTRACITE
Fabriqué en France";25\BESANCON\Siege\VIOTTE;
CHAISVISIT, Chaise visiteur;Chaise visiteur;Mobilier de bureau;Chaise.;EquipBuro;;27326;;"Siège visiteur
Dossier tapissé sur coque
Assise tapissée
Piétement 4 pieds tube acier
chromé
Coque BLANCHE 
Tissu DUO ANTRACITE
Fabriqué en France";25\BESANCON\Siege\VIOTTE;
CHAISVISIT, Chaise visiteur;Chaise visiteur;Mobilier de bureau;Chaise.;EquipBuro;;27327;;"Siège visiteur
Dossier tapissé sur coque
Assise tapissée
Piétement 4 pieds tube acier
chromé
Coque BLANCHE 
Tissu DUO ANTRACITE
Fabriqué en France";25\BESANCON\Siege\VIOTTE;
CHAISVISIT, Chaise visiteur;Chaise visiteur;Mobilier de bureau;Chaise.;EquipBuro;;27328;;"Siège visiteur
Dossier tapissé sur coque
Assise tapissée
Piétement 4 pieds tube acier
chromé
Coque BLANCHE 
Tissu DUO ANTRACITE
Fabriqué en France";25\BESANCON\Siege\VIOTTE;
CHAISVISIT, Chaise visiteur;Chaise visiteur;Mobilier de bureau;Chaise.;EquipBuro;;27329;;"Siège visiteur
Dossier tapissé sur coque
Assise tapissée
Piétement 4 pieds tube acier
chromé
Coque BLANCHE 
Tissu DUO ANTRACITE
Fabriqué en France";25\BESANCON\Siege\VIOTTE;
CHAISVISIT, Chaise visiteur;Chaise visiteur;Mobilier de bureau;Chaise.;EquipBuro;;27330;;"Siège visiteur
Dossier tapissé sur coque
Assise tapissée
Piétement 4 pieds tube acier
chromé
Coque BLANCHE 
Tissu DUO ANTRACITE
Fabriqué en France";25\BESANCON\Siege\VIOTTE;
CHAISVISIT, Chaise visiteur;Chaise visiteur;Mobilier de bureau;Chaise.;EquipBuro;;27331;;"Siège visiteur
Dossier tapissé sur coque
Assise tapissée
Piétement 4 pieds tube acier
chromé
Coque BLANCHE 
Tissu DUO ANTRACITE
Fabriqué en France";25\BESANCON\Siege\VIOTTE\2eme etage\201 - Salle de réunion;
CHAISVISIT, Chaise visiteur;Chaise visiteur;Mobilier de bureau;Chaise.;EquipBuro;;27332;;"Siège visiteur
Dossier tapissé sur coque
Assise tapissée
Piétement 4 pieds tube acier
chromé
Coque BLANCHE 
Tissu DUO ANTRACITE
Fabriqué en France";25\BESANCON\Siege\VIOTTE\2eme etage\201 - Salle de réunion;
CHAISVISIT, Chaise visiteur;Chaise visiteur;Mobilier de bureau;Chaise.;EquipBuro;;27333;;"Siège visiteur
Dossier tapissé sur coque
Assise tapissée
Piétement 4 pieds tube acier
chromé
Coque BLANCHE 
Tissu DUO ANTRACITE
Fabriqué en France";25\BESANCON\Siege\VIOTTE\2eme etage\201 - Salle de réunion;
CHAISVISIT, Chaise visiteur;Chaise visiteur;Mobilier de bureau;Chaise.;EquipBuro;;27334;;"Siège visiteur
Dossier tapissé sur coque
Assise tapissée
Piétement 4 pieds tube acier
chromé
Coque BLANCHE 
Tissu DUO ANTRACITE
Fabriqué en France";25\BESANCON\Siege\VIOTTE\2eme etage\201 - Salle de réunion;
CHAISVISIT, Chaise visiteur;Chaise visiteur;Mobilier de bureau;Chaise.;EquipBuro;;27335;;"Siège visiteur
Dossier tapissé sur coque
Assise tapissée
Piétement 4 pieds tube acier
chromé
Coque BLANCHE 
Tissu DUO ANTRACITE
Fabriqué en France";25\BESANCON\Siege\VIOTTE\2eme etage\201 - Salle de réunion;
CHAISVISIT, Chaise visiteur;Chaise visiteur;Mobilier de bureau;Chaise.;EquipBuro;;27336;;"Siège visiteur
Dossier tapissé sur coque
Assise tapissée
Piétement 4 pieds tube acier
chromé
Coque BLANCHE 
Tissu DUO ANTRACITE
Fabriqué en France";25\BESANCON\Siege\VIOTTE\2eme etage\201 - Salle de réunion;
CHAISVISIT, Chaise visiteur;Chaise visiteur;Mobilier de bureau;Chaise.;EquipBuro;;27337;;"Siège visiteur
Dossier tapissé sur coque
Assise tapissée
Piétement 4 pieds tube acier
chromé
Coque BLANCHE 
Tissu DUO ANTRACITE
Fabriqué en France";25\BESANCON\Siege\VIOTTE\2eme etage\201 - Salle de réunion;
CHAISVISIT, Chaise visiteur;Chaise visiteur;Mobilier de bureau;Chaise.;EquipBuro;;27338;;"Siège visiteur
Dossier tapissé sur coque
Assise tapissée
Piétement 4 pieds tube acier
chromé
Coque BLANCHE 
Tissu DUO ANTRACITE
Fabriqué en France";25\BESANCON\Siege\VIOTTE\2eme etage\201 - Salle de réunion;
CHAISVISIT, Chaise visiteur;Chaise visiteur;Mobilier de bureau;Chaise.;EquipBuro;;27339;;"Siège visiteur
Dossier tapissé sur coque
Assise tapissée
Piétement 4 pieds tube acier
chromé
Coque BLANCHE 
Tissu DUO ANTRACITE
Fabriqué en France";25\BESANCON\Siege\VIOTTE\2eme etage\201 - Salle de réunion;
CHAISVISIT, Chaise visiteur;Chaise visiteur;Mobilier de bureau;Chaise.;EquipBuro;;27340;;"Siège visiteur
Dossier tapissé sur coque
Assise tapissée
Piétement 4 pieds tube acier
chromé
Coque BLANCHE 
Tissu DUO ANTRACITE
Fabriqué en France";25\BESANCON\Siege\VIOTTE\2eme etage\201 - Salle de réunion;
CHAISVISIT, Chaise visiteur;Chaise visiteur;Mobilier de bureau;Chaise.;EquipBuro;;27341;;"Siège visiteur
Dossier tapissé sur coque
Assise tapissée
Piétement 4 pieds tube acier
chromé
Coque BLANCHE 
Tissu DUO ANTRACITE
Fabriqué en France";25\BESANCON\Siege\VIOTTE\2eme etage\201 - Salle de réunion;
CHAISVISIT, Chaise visiteur;Chaise visiteur;Mobilier de bureau;Chaise.;EquipBuro;;27342;;"Siège visiteur
Dossier tapissé sur coque
Assise tapissée
Piétement 4 pieds tube acier
chromé
Coque BLANCHE 
Tissu DUO ANTRACITE
Fabriqué en France";25\BESANCON\Siege\VIOTTE\2eme etage\201 - Salle de réunion;
CHAISVISIT, Chaise visiteur;Chaise visiteur;Mobilier de bureau;Chaise.;EquipBuro;;27343;;"Siège visiteur
Dossier tapissé sur coque
Assise tapissée
Piétement 4 pieds tube acier
chromé
Coque BLANCHE 
Tissu DUO ANTRACITE
Fabriqué en France";25\BESANCON\Siege\VIOTTE\2eme etage\201 - Salle de réunion;
CHAISVISIT, Chaise visiteur;Chaise visiteur;Mobilier de bureau;Chaise.;EquipBuro;;27344;;"Siège visiteur
Dossier tapissé sur coque
Assise tapissée
Piétement 4 pieds tube acier
chromé
Coque BLANCHE 
Tissu DUO ANTRACITE
Fabriqué en France";25\BESANCON\Siege\VIOTTE\2eme etage\201 - Salle de réunion;
CHAISVISIT, Chaise visiteur;Chaise visiteur;Mobilier de bureau;Chaise.;EquipBuro;;27345;;"Siège visiteur
Dossier tapissé sur coque
Assise tapissée
Piétement 4 pieds tube acier
chromé
Coque BLANCHE 
Tissu DUO ANTRACITE
Fabriqué en France";25\BESANCON\Siege\VIOTTE\6eme etage\607 - Salle de réunion;
CHAISVISIT, Chaise visiteur;Chaise visiteur;Mobilier de bureau;Chaise.;EquipBuro;;27346;;"Siège visiteur
Dossier tapissé sur coque
Assise tapissée
Piétement 4 pieds tube acier
chromé
Coque BLANCHE 
Tissu DUO ANTRACITE
Fabriqué en France";25\BESANCON\Siege\VIOTTE;
CHAISVISIT, Chaise visiteur;Chaise visiteur;Mobilier de bureau;Chaise.;EquipBuro;;27347;;"Siège visiteur
Dossier tapissé sur coque
Assise tapissée
Piétement 4 pieds tube acier
chromé
Coque BLANCHE 
Tissu DUO ANTRACITE
Fabriqué en France";25\BESANCON\Siege\VIOTTE\6eme etage\607 - Salle de réunion;
CHAISVISIT, Chaise visiteur;Chaise visiteur;Mobilier de bureau;Chaise.;EquipBuro;;27348;;"Siège visiteur
Dossier tapissé sur coque
Assise tapissée
Piétement 4 pieds tube acier
chromé
Coque BLANCHE 
Tissu DUO ANTRACITE
Fabriqué en France";25\BESANCON\Siege\VIOTTE\6eme etage\607 - Salle de réunion;
CHAISVISIT, Chaise visiteur;Chaise visiteur;Mobilier de bureau;Chaise.;EquipBuro;;27349;;"Siège visiteur
Dossier tapissé sur coque
Assise tapissée
Piétement 4 pieds tube acier
chromé
Coque BLANCHE 
Tissu DUO ANTRACITE
Fabriqué en France";25\BESANCON\Siege\VIOTTE\6eme etage\607 - Salle de réunion;
CHAISVISIT, Chaise visiteur;Chaise visiteur;Mobilier de bureau;Chaise.;EquipBuro;;27350;;"Siège visiteur
Dossier tapissé sur coque
Assise tapissée
Piétement 4 pieds tube acier
chromé
Coque BLANCHE 
Tissu DUO ANTRACITE
Fabriqué en France";25\BESANCON\Siege\VIOTTE\6eme etage\607 - Salle de réunion;
CHAISVISIT, Chaise visiteur;Chaise visiteur;Mobilier de bureau;Chaise.;EquipBuro;;27351;;"Siège visiteur
Dossier tapissé sur coque
Assise tapissée
Piétement 4 pieds tube acier
chromé
Coque BLANCHE 
Tissu DUO ANTRACITE
Fabriqué en France";25\BESANCON\Siege\VIOTTE\6eme etage\607 - Salle de réunion;
CHAISVISIT, Chaise visiteur;Chaise visiteur;Mobilier de bureau;Chaise.;EquipBuro;;27352;;"Siège visiteur
Dossier tapissé sur coque
Assise tapissée
Piétement 4 pieds tube acier
chromé
Coque BLANCHE 
Tissu DUO ANTRACITE
Fabriqué en France";25\BESANCON\Siege\VIOTTE\6eme etage\607 - Salle de réunion;
CHAISVISIT, Chaise visiteur;Chaise visiteur;Mobilier de bureau;Chaise.;EquipBuro;;27353;;"Siège visiteur
Dossier tapissé sur coque
Assise tapissée
Piétement 4 pieds tube acier
chromé
Coque BLANCHE 
Tissu DUO ANTRACITE
Fabriqué en France";25\BESANCON\Siege\VIOTTE\6eme etage\607 - Salle de réunion;
CHAISVISIT, Chaise visiteur;Chaise visiteur;Mobilier de bureau;Chaise.;EquipBuro;;27354;;"Siège visiteur
Dossier tapissé sur coque
Assise tapissée
Piétement 4 pieds tube acier
chromé
Coque BLANCHE 
Tissu DUO ANTRACITE
Fabriqué en France";25\BESANCON\Siege\VIOTTE\6eme etage\607 - Salle de réunion;
CHAISVISIT, Chaise visiteur;Chaise visiteur;Mobilier de bureau;Chaise.;EquipBuro;;27355;;"Siège visiteur
Dossier tapissé sur coque
Assise tapissée
Piétement 4 pieds tube acier
chromé
Coque BLANCHE 
Tissu DUO ANTRACITE
Fabriqué en France";25\BESANCON\Siege\VIOTTE\6eme etage\607 - Salle de réunion;
CHAISVISIT, Chaise visiteur;Chaise visiteur;Mobilier de bureau;Chaise.;EquipBuro;;27356;;"Siège visiteur
Dossier tapissé sur coque
Assise tapissée
Piétement 4 pieds tube acier
chromé
Coque BLANCHE 
Tissu DUO ANTRACITE
Fabriqué en France";25\BESANCON\Siege\VIOTTE\6eme etage\607 - Salle de réunion;
CHAISVISIT, Chaise visiteur;Chaise visiteur;Mobilier de bureau;Chaise.;EquipBuro;;27357;;"Siège visiteur
Dossier tapissé sur coque
Assise tapissée
Piétement 4 pieds tube acier
chromé
Coque BLANCHE 
Tissu DUO ANTRACITE
Fabriqué en France";25\BESANCON\Siege\VIOTTE\6eme etage\607 - Salle de réunion;
CHAISVISIT, Chaise visiteur;Chaise visiteur;Mobilier de bureau;Chaise.;EquipBuro;;27358;;"Siège visiteur
Dossier tapissé sur coque
Assise tapissée
Piétement 4 pieds tube acier
chromé
Coque BLANCHE 
Tissu DUO ANTRACITE
Fabriqué en France";25\BESANCON\Siege\VIOTTE\6eme etage\607 - Salle de réunion;
CHAISVISIT, Chaise visiteur;Chaise visiteur;Mobilier de bureau;Chaise.;EquipBuro;;27359;;"Siège visiteur
Dossier tapissé sur coque
Assise tapissée
Piétement 4 pieds tube acier
chromé
Coque BLANCHE 
Tissu DUO ANTRACITE
Fabriqué en France";25\BESANCON\Siege\VIOTTE\6eme etage\607 - Salle de réunion;
CHAISVISIT, Chaise visiteur;Chaise visiteur;Mobilier de bureau;Chaise.;EquipBuro;;27360;;"Siège visiteur
Dossier tapissé sur coque
Assise tapissée
Piétement 4 pieds tube acier
chromé
Coque BLANCHE 
Tissu DUO ANTRACITE
Fabriqué en France";25\BESANCON\Siege\VIOTTE\6eme etage\607 - Salle de réunion;
CHAISVISIT, Chaise visiteur;Chaise visiteur;Mobilier de bureau;Chaise.;EquipBuro;;27361;;"Siège visiteur
Dossier tapissé sur coque
Assise tapissée
Piétement 4 pieds tube acier
chromé
Coque BLANCHE 
Tissu DUO ANTRACITE
Fabriqué en France";25\BESANCON\Siege\VIOTTE\6eme etage\607 - Salle de réunion;
CHAISVISIT, Chaise visiteur;Chaise visiteur;Mobilier de bureau;Chaise.;EquipBuro;;27362;;"Siège visiteur
Dossier tapissé sur coque
Assise tapissée
Piétement 4 pieds tube acier
chromé
Coque BLANCHE 
Tissu DUO ANTRACITE
Fabriqué en France";25\BESANCON\Siege\VIOTTE\6eme etage\607 - Salle de réunion;
CHAISVISIT, Chaise visiteur;Chaise visiteur;Mobilier de bureau;Chaise.;EquipBuro;;27363;;"Siège visiteur
Dossier tapissé sur coque
Assise tapissée
Piétement 4 pieds tube acier
chromé
Coque BLANCHE 
Tissu DUO ANTRACITE
Fabriqué en France";25\BESANCON\Siege\VIOTTE\5eme etage\519 - Salle de réunion;
