Référence;Désignation;Famille;Type;Fournisseur;Utilisateur;Code barre;N° série;Informations;Site;Date de livraison
TABOURET, Tout type de tabouret à roulette ou sans;Tout type de tabouret à roulette ou sans;Mobilier de bureau;Tabouret;EquipBuro;;28009;;"Tabouret haut
Dossier et assise coque plastique
moulé BLANCHE
Piétement chêne massif verni avec
repose-pieds";25\BESANCON\Siege\VIOTTE\2eme etage\219/220;
TABOURET, Tout type de tabouret à roulette ou sans;Tout type de tabouret à roulette ou sans;Mobilier de bureau;Tabouret;EquipBuro;;28010;;"Tabouret haut
Dossier et assise coque plastique
moulé BLANCHE
Piétement chêne massif verni avec
repose-pieds";25\BESANCON\Siege\VIOTTE\2eme etage\219/220;
TABOURET, Tout type de tabouret à roulette ou sans;Tout type de tabouret à roulette ou sans;Mobilier de bureau;Tabouret;EquipBuro;;28011;;"Tabouret haut
Dossier et assise coque plastique
moulé BLANCHE
Piétement chêne massif verni avec
repose-pieds";25\BESANCON\Siege\VIOTTE\2eme etage\221;
TABOURET, Tout type de tabouret à roulette ou sans;Tout type de tabouret à roulette ou sans;Mobilier de bureau;Tabouret;EquipBuro;;28012;;"Tabouret haut
Dossier et assise coque plastique
moulé BLANCHE
Piétement chêne massif verni avec
repose-pieds";25\BESANCON\Siege\VIOTTE\2eme etage\219/220;
TABLREUPLIROUL1600P7, TABLREUPLIROUL1600P7, Table de réunion pliable, abattante à rouletteL.160 cm P.70 cm;TABLREUPLIROUL1600P7, Table de réunion pliable, abattante à rouletteL.160 cm P.70 cm;Mobilier de bureau;Table.;EquipBuro;;28013;;"Table abattante sur roulettes
L 160 x P 70 x H 76 cm
Plateau mélaminé ép. 25 mm
Kit de 4 connecteurs inclus
Piétement Y métallique
Avec Voile de fond";25\BESANCON\Siege\VIOTTE\4eme etage\419;
TABLREUPLIROUL1600P7, TABLREUPLIROUL1600P7, Table de réunion pliable, abattante à rouletteL.160 cm P.70 cm;TABLREUPLIROUL1600P7, Table de réunion pliable, abattante à rouletteL.160 cm P.70 cm;Mobilier de bureau;Table.;EquipBuro;;28014;;"Table abattante sur roulettes
L 160 x P 70 x H 76 cm
Plateau mélaminé ép. 25 mm
Kit de 4 connecteurs inclus
Piétement Y métallique
Avec Voile de fond";25\BESANCON\Siege\VIOTTE\4eme etage\419;
TABLREUPLIROUL1600P7, TABLREUPLIROUL1600P7, Table de réunion pliable, abattante à rouletteL.160 cm P.70 cm;TABLREUPLIROUL1600P7, Table de réunion pliable, abattante à rouletteL.160 cm P.70 cm;Mobilier de bureau;Table.;EquipBuro;;28015;;"Table abattante sur roulettes
L 160 x P 70 x H 76 cm
Plateau mélaminé ép. 25 mm
Kit de 4 connecteurs inclus
Piétement Y métallique
Avec Voile de fond";25\BESANCON\Siege\VIOTTE\4eme etage\419;
TABLREUPLIROUL1600P7, TABLREUPLIROUL1600P7, Table de réunion pliable, abattante à rouletteL.160 cm P.70 cm;TABLREUPLIROUL1600P7, Table de réunion pliable, abattante à rouletteL.160 cm P.70 cm;Mobilier de bureau;Table.;EquipBuro;;28016;;"Table abattante sur roulettes
L 160 x P 70 x H 76 cm
Plateau mélaminé ép. 25 mm
Kit de 4 connecteurs inclus
Piétement Y métallique
Avec Voile de fond";25\BESANCON\Siege\VIOTTE\4eme etage\419;
TABLREUPLIROUL1600P7, TABLREUPLIROUL1600P7, Table de réunion pliable, abattante à rouletteL.160 cm P.70 cm;TABLREUPLIROUL1600P7, Table de réunion pliable, abattante à rouletteL.160 cm P.70 cm;Mobilier de bureau;Table.;EquipBuro;;28017;;"Table abattante sur roulettes
L 160 x P 70 x H 76 cm
Plateau mélaminé ép. 25 mm
Kit de 4 connecteurs inclus
Piétement Y métallique
Avec Voile de fond";25\BESANCON\Siege\VIOTTE;
TABLREUPLIROUL1600P7, TABLREUPLIROUL1600P7, Table de réunion pliable, abattante à rouletteL.160 cm P.70 cm;TABLREUPLIROUL1600P7, Table de réunion pliable, abattante à rouletteL.160 cm P.70 cm;Mobilier de bureau;Table.;EquipBuro;;28018;;"Table abattante sur roulettes
L 160 x P 70 x H 76 cm
Plateau mélaminé ép. 25 mm
Kit de 4 connecteurs inclus
Piétement Y métallique
Avec Voile de fond";25\BESANCON\Siege\VIOTTE;
